place,Total_Time,Swim_Time,Bike_Time,Run_Time
1,27983.0,2879.0,14849.000000000002,10065.0
2,28386.0,2870.0,15107.000000000002,10220.0
3,28478.0,2871.0,15544.000000000002,9892.0
4,28617.0,2957.0,15736.000000000002,9747.0
5,28697.0,2879.0,14737.000000000002,10902.0
6,28755.0,2875.0,15741.000000000002,9964.0
7,29068.0,2869.0,15713.000000000002,10309.0
8,29257.000000000004,3238.0,14986.000000000002,10782.0
9,29301.000000000004,3137.0,15928.000000000002,10065.0
10,29695.000000000004,2868.0,15898.000000000002,10759.0
11,30022.000000000004,3140.0,16101.000000000002,10590.0
12,30049.000000000004,2885.0,16634.0,10285.0
13,30200.000000000004,3142.0,16108.000000000002,10756.0
14,30566.000000000004,2957.0,16175.000000000002,11249.0
15,30680.000000000004,3137.0,16121.000000000002,11247.0
16,30724.000000000004,2877.0,16368.000000000002,11239.0
17,31041.000000000004,3413.0,16752.0,10679.0
18,31079.000000000004,2876.0,16674.0,11339.0
19,31137.000000000004,2869.0,16233.000000000002,11865.0
20,31191.000000000004,2959.0,16833.0,11236.0
21,31197.000000000004,3383.0,16573.0,10981.0
22,31305.000000000004,3243.0,15999.000000000002,11851.0
23,31324.000000000004,3336.0,16696.0,10998.0
24,31444.000000000004,3534.0,16762.0,10952.0
25,31710.000000000004,3678.0000000000005,17404.0,10381.0
26,31789.000000000004,3406.0,17169.0,10970.0
27,32011.000000000004,3361.0,17417.0,10984.0
28,32029.000000000004,3395.0,17188.0,11258.0
29,32038.000000000004,3490.0,17627.0,10663.0
30,32051.000000000004,3203.0,17443.0,11155.0
31,32217.000000000004,3642.0,17321.0,11028.0
32,32239.000000000004,3133.0,17612.0,11303.0
33,32300.000000000004,3424.0,18193.0,10421.0
34,32432.000000000004,3215.0,17106.0,11833.0
35,32437.000000000004,3364.0,17357.0,11489.0
35,32437.000000000004,3420.0,17234.0,11607.0
37,32483.000000000004,3477.0,18148.0,10636.0
38,32524.000000000004,3369.0,17438.0,11463.0
39,32542.000000000004,2864.0,17289.0,12086.0
40,32573.000000000004,3417.0,16947.0,11950.0
41,32575.000000000004,3529.0,16803.0,12052.0
42,32622.000000000004,3392.0,17314.0,11704.0
43,32661.000000000004,3495.0,17731.0,11242.0
44,32693.000000000004,3492.0,17574.0,11389.0
45,32723.000000000004,3674.0000000000005,17526.0,11276.0
46,32745.000000000004,3333.0,17462.0,11716.0
47,32778.0,3275.0,17652.0,11649.0
48,32796.0,3407.0,17645.0,11527.0
49,32802.0,3275.0,17571.0,11737.0
50,32861.0,4066.0000000000005,17980.0,10474.0
51,33098.0,3434.0,17795.0,11581.0
52,33115.0,3416.0,17486.0,11964.0
53,33164.0,3446.0,17611.0,11862.0
54,33184.0,3589.0,18003.0,11345.0
