,full_name,pac,sho,pas,dri,def,phy,overall
0,C. Ronaldo dos Santos Aveiro,90,93,82,90,33,80,94
1,Lionel Messi,89,90,86,96,26,61,93
2,Neymar da Silva Santos Jr.,92,84,79,95,30,60,92
3,Luis Suárez,82,90,79,87,42,81,92
4,Manuel Neuer,91,90,95,89,60,91,92
5,Robert Lewandowski,81,88,75,86,38,82,91
6,David De Gea Quintana,90,85,87,90,58,86,90
7,Eden Hazard,90,82,84,92,32,66,90
8,Toni Kroos,56,81,89,81,73,70,90
9,Gonzalo Higuaín,79,87,70,83,25,74,90
10,Sergio Ramos García,76,63,71,71,88,83,90
11,Kevin De Bruyne,75,84,88,85,45,75,89
12,Thibaut Courtois,85,91,69,88,49,86,89
13,Alexis Sánchez,86,84,80,89,40,78,89
14,Luka Modrić,73,75,86,89,72,65,89
15,Gareth Bale,94,87,84,85,57,76,89
16,Sergio Agüero,87,88,75,89,23,72,89
17,Giorgio Chiellini,74,46,56,59,90,85,89
18,Gianluigi Buffon,89,88,74,84,46,90,89
19,Paulo Dybala,86,85,81,91,24,67,88
20,Jan Oblak,84,90,77,84,52,87,88
21,Antoine Griezmann,86,85,78,87,30,68,88
22,Thiago Alcântara,72,75,85,90,62,63,88
23,Pierre-Emerick Aubameyang,96,84,75,81,37,71,88
24,Leonardo Bonucci,68,54,70,70,87,81,88
25,Jérôme Boateng,75,50,72,67,88,84,88
26,Diego Godín,67,48,65,63,88,79,88
27,Mats Hummels,64,58,75,71,89,76,88
28,Mesut Özil,71,74,87,86,24,58,88
29,Hugo Lloris,88,86,68,90,64,82,88
30,Thiago Emiliano da Silva,72,56,73,73,89,79,88
31,Zlatan Ibrahimović,65,88,81,82,32,82,88
32,Arjen Robben,86,86,81,91,32,63,88
33,N'Golo Kanté,81,66,75,79,81,84,87
34,Marco Verratti,65,59,84,89,79,68,87
35,Paul Pogba,74,79,84,85,68,88,87
36,Christian Eriksen,75,78,88,84,47,63,87
37,Arturo Vidal,75,81,80,79,83,84,87
38,Edinson Cavani,77,83,72,80,42,81,87
39,Marcelo Vieira da Silva,78,69,80,86,83,79,87
40,Marek Hamšík,74,80,84,84,68,71,87
41,Ivan Rakitić,65,84,86,83,60,66,87
42,David Josué Jiménez Silva,68,72,87,87,38,61,87
43,Samir Handanovič,87,86,69,87,56,87,87
44,Gerard Piqué Bernabeu,65,61,69,65,86,76,87
45,Andrés Iniesta Luján,71,70,87,90,58,58,87
46,Harry Kane,73,87,72,78,42,83,86
47,James Rodríguez,76,85,85,83,40,68,86
48,Francisco Román Alarcón Suárez,71,83,82,89,54,62,86
49,David Alaba,86,73,81,80,82,74,86
50,Romelu Lukaku,83,85,70,74,34,84,86
51,Alex Sandro Lobo Silva,86,65,77,81,81,84,86
52,Thomas Müller,77,82,77,78,46,71,86
53,Sergio Busquets Burgos,40,59,79,74,82,81,86
54,Philippe Coutinho Correia,82,78,83,88,35,64,86
55,Marco Reus,88,87,84,86,39,64,86
56,Toby Alderweireld,66,58,72,65,87,80,86
57,David Luiz Moreira Marinho,70,64,74,71,84,81,86
58,Diego da Silva Costa,75,83,65,76,40,88,86
59,Radja Nainggolan,78,80,78,82,81,83,86
60,Javier Martínez Aginaga,50,60,69,65,86,80,86
61,Dries Mertens,90,82,79,89,36,55,86
62,Sokratis Papastathopoulos,78,52,55,60,87,84,86
63,João Miranda de Souza Filho,71,49,60,67,88,77,86
64,Karim Benzema,78,82,78,82,22,74,86
65,Francesc Fàbregas i Soler,63,77,88,80,61,64,86
66,Franck Ribéry,82,76,83,90,25,58,86
67,Képler Laveran Lima Ferreira,68,51,57,61,86,80,86
68,Petr Čech,82,87,76,81,42,83,86
69,Yannick Carrasco,88,79,78,88,29,63,85
70,Raphaël Varane,83,45,61,64,84,79,85
71,Álvaro Borja Morata Martín,83,81,71,80,24,74,85
72,Carlos Henrique Venancio Casimiro,62,68,74,72,84,86,85
73,Lorenzo Insigne,90,74,82,89,25,50,85
74,Jorge Resurrección,72,75,86,82,65,76,85
75,Alexandre Lacazette,86,83,71,85,38,77,85
76,Keylor Navas,89,78,72,88,53,80,85
77,Henrikh Mkhitaryan,86,79,80,87,54,70,85
78,Danijel Subašić,84,79,79,87,53,85,85
79,Bernd Leno,85,84,74,83,49,85,85
80,Marc-André ter Stegen,84,83,87,86,45,81,85
81,Kamil Glik,56,32,44,53,86,84,85
82,Jordi Alba Ramos,93,69,75,82,81,72,85
83,İlkay Gündoğan,71,74,83,87,64,71,85
84,César Azpilicueta Tanco,79,55,75,74,86,78,85
85,Ángel Di María,86,77,82,86,47,68,85
86,Miralem Pjanić,74,71,86,86,67,69,85
87,Claudio Marchisio,78,72,83,84,76,74,85
88,Jan Vertonghen,67,65,73,70,85,81,85
89,Blaise Matuidi,78,67,77,75,83,84,85
90,Stéphane Ruffier,82,84,77,87,48,85,85
91,Filipe Luís Kasmirski,79,62,77,77,82,79,85
92,Vincent Kompany,63,54,65,64,84,83,85
93,Andrea Barzagli,71,34,57,64,88,73,85
94,Eric Bailly,78,42,59,65,84,84,84
95,Marco Asensio Willemsen,82,82,83,83,39,61,84
96,Bernardo Mota Carvalho e Silva,81,72,81,90,45,61,84
97,Aymeric Laporte,69,50,66,61,86,78,84
98,Dele Alli,76,81,77,82,64,78,84
99,Sadio Mané,93,78,75,85,36,75,84
100,Daniel Carvajal Ramos,82,45,73,79,83,79,84
101,Julian Draxler,78,80,82,86,34,64,84
102,Mauro Icardi,78,83,61,75,26,70,84
103,Kalidou Koulibaly,73,26,43,56,85,86,84
104,Timo Horn,83,81,83,86,48,82,84
105,Kostas Manolas,80,19,42,60,86,83,84
106,Shkodran Mustafi,67,57,63,62,83,79,84
107,Ander Herrera Agüera,73,72,81,83,78,77,84
108,Nemanja Matić,64,70,77,72,80,87,84
109,Kevin Strootman,67,74,82,78,78,82,84
110,Pedro Rodríguez Ledesma,82,77,77,85,37,62,84
111,Roman Bürki,84,83,73,85,48,79,84
112,Bruno Soriano Llido,41,72,79,75,78,77,84
113,Ivan Perišić,84,80,78,82,42,75,84
114,Edin Džeko,64,83,70,74,32,72,84
115,Willian Borges da Silva,88,76,81,86,49,64,84
116,Sami Khedira,64,74,80,76,80,84,84
117,Ralf Fährmann,83,86,52,87,43,85,84
118,Sergio Asenjo Andrés,86,83,76,85,56,82,84
119,Juan Manuel Mata García,67,76,84,84,32,55,84
120,Medhi Benatia,74,42,54,64,85,82,84
121,Radamel Falcao García Zarate,69,84,68,78,37,74,84
122,Laurent Koscielny,75,41,62,65,85,78,84
123,Gary Cahill,63,58,52,61,84,78,84
124,Daniel Alves da Silva,82,68,81,85,77,66,84
125,Alejandro Gómez,90,77,80,89,31,58,84
126,Aritz Aduriz Zubeldia,70,83,65,77,46,80,84
127,Kylian Mbappé,90,80,74,85,47,74,83
128,Ousmane Dembélé,91,76,75,89,33,56,83
129,Naby Keïta,73,71,77,89,62,70,83
130,José María Giménez,70,45,51,52,84,81,83
131,Gerónimo Rulli,85,79,75,86,51,82,83
132,Thomas Lemar,85,78,80,86,62,70,83
133,João Mário Naval Costa Eduardo,73,70,80,83,70,71,83
134,Niklas Süle,65,41,51,49,83,81,83
135,Ederson Santana de Moraes,81,76,82,87,63,78,83
136,Leon Goretzka,85,74,80,80,78,76,83
137,Fábio Henrique Tavares,74,65,76,76,83,83,83
138,Mohamed Salah,93,73,74,87,45,66,83
139,Andrea Belotti,82,81,57,78,29,84,83
140,Emil Forsberg,75,74,83,83,30,66,83
141,Marcos Aoas Corrêa,71,38,68,69,84,76,83
142,William Silva de Carvalho,53,57,77,74,80,83,83
143,Samuel Umtiti,74,64,71,71,82,79,83
144,Riyad Mahrez,82,74,78,88,28,55,83
145,Virgil van Dijk,73,60,67,69,83,85,83
146,Roberto Firmino Barbosa de Oliveira,77,81,79,85,46,77,83
147,Danilo Luís Hélio Pereira,68,62,69,74,82,87,83
148,Víctor Machín Pérez,80,77,79,83,28,76,83
149,Anthony Lopes,86,79,73,85,62,79,83
150,Stefan de Vrij,68,41,58,65,85,76,83
151,Mattia Perin,80,85,71,90,56,78,83
152,Joel Matip,67,46,68,66,84,78,83
153,Idrissa Gueye,76,60,70,77,83,81,83
154,Iago Aspas Juncal,81,83,73,85,29,63,83
155,Ciro Immobile,83,84,61,79,38,76,83
156,Nicolás Otamendi,63,56,59,54,83,81,83
157,Javier Pastore,71,75,83,85,58,64,83
158,Daniel Parejo Muñoz,52,77,87,78,61,69,83
159,Shinji Kagawa,70,68,76,87,34,49,83
160,Giacomo Bonaventura,78,77,82,83,67,73,83
161,Bas Dost,60,83,57,64,43,83,83
162,Kyle Walker,90,63,73,76,80,81,83
163,Oscar dos Santos Emboaba,74,75,79,82,43,47,83
164,Steven N'Zonzi,57,67,73,71,80,88,83
165,Mateo Musacchio,70,51,67,58,84,78,83
166,Ömer Toprak,76,39,62,67,85,75,83
167,José María Callejón Bueno,90,78,71,83,35,65,83
168,Adrien S. Perruchet Silva,65,76,82,81,78,72,83
169,Sebastian Giovinco,84,81,79,87,27,57,83
170,Nicolás Gaitán,81,74,81,85,39,55,83
171,Mario Mandžukić,72,78,71,74,65,87,83
172,Adam Lallana,73,75,80,84,65,74,83
173,Benedikt Höwedes,64,47,63,64,83,77,83
174,Éver Banega,69,70,85,84,62,67,83
175,Rui Pedro dos Santos Patrício,85,81,80,82,55,79,83
176,Yann Sommer,81,82,83,83,51,80,83
177,Dimitri Payet,74,78,85,87,37,69,83
178,Morgan Schneiderlin,68,62,76,77,79,81,83
179,Jonas Gonçalves Oliveira,65,85,75,84,35,65,83
180,Łukasz Piszczek,79,69,76,74,81,80,83
181,Ezequiel Garay,43,64,66,64,84,80,83
182,Antonio Valencia,87,66,75,81,78,85,83
183,Kasper Schmeichel,83,82,82,86,61,80,83
184,Moussa Dembélé,76,72,77,85,75,84,83
185,Borja Valero Iglesias,70,69,85,86,63,65,83
186,Loïc Perrin,68,65,69,67,86,80,83
187,Lucas Biglia,69,63,81,80,75,75,83
188,Diego López Rodríguez,77,84,76,80,44,83,83
189,Santiago Cazorla González,65,76,85,85,61,63,83
190,Javier Mascherano,65,53,71,68,82,77,83
191,Wesley Sneijder,69,78,86,82,38,57,83
192,Luís Carlos Almeida da Cunha,81,79,81,86,24,64,83
193,Daniele De Rossi,68,64,73,70,81,82,83
194,José Manuel Reina Páez,80,83,82,82,57,82,83
195,Ricardo Andrade Quaresma Bernardo,83,76,81,88,18,60,83
196,Yaya Touré,63,82,80,76,70,83,83
197,Iker Casillas Fernández,86,74,58,85,58,80,83
198,Gianluigi Donnarumma,88,78,72,88,50,78,82
199,Leroy Sané,94,77,72,86,35,70,82
200,Tiémoué Bakayoko,73,49,70,77,81,83,82
201,Corentin Tolisso,74,76,78,78,76,83,82
202,Nabil Fekir,80,78,77,87,31,75,82
203,Jean Michaël Seri,80,71,82,81,72,74,82
204,Keita Baldé Diao,92,76,72,86,29,70,82
205,Jonathan Tah,72,27,58,58,82,78,82
206,Federico Bernardeschi,84,76,77,86,34,65,82
207,Timo Werner,92,79,65,81,28,65,82
208,André Filipe Tavares Gomes,68,71,78,78,71,81,82
209,Anthony Martial,90,79,71,86,41,74,82
210,Quincy Promes,89,81,76,83,29,67,82
